date,home_team,away_team,home_score,away_score,tournament,neutral,k_factor,elo_home_pre,elo_away_pre
1910-03-14,Wales,England,0,1,British Home Championship,FALSE,30,1388.3793,1807.6863
1910-03-19,Northern Ireland,Scotland,1,0,British Home Championship,FALSE,30,1284.7120,1604.4147
1910-04-02,Scotland,England,2,0,British Home Championship,FALSE,30,1581.0196,1811.8047
1910-04-03,France,Belgium,0,4,Friendly,FALSE,20,1384.5823,1496.3749
1910-04-03,Switzerland,Germany,2,3,Friendly,FALSE,20,1483.9375,1492.1392
1910-04-07,Jersey,Alderney,7,1,Muratti Vase,FALSE,30,1493.2716,1422.7076
1910-04-10,Netherlands,Belgium,7,0,Friendly,FALSE,20,1609.1923,1514.4888
1910-04-11,Wales,Northern Ireland,4,1,British Home Championship,FALSE,30,1384.2610,1308.1070
1910-04-21,Guernsey,Jersey,2,3,Muratti Vase,FALSE,30,1584.0208,1510.6451
1910-04-24,Netherlands,Germany,4,2,Friendly,FALSE,20,1620.2561,1504.7216
1910-05-01,Austria,Hungary,2,1,Friendly,FALSE,20,1466.0356,1486.9919
1910-05-15,Italy,France,6,2,Friendly,FALSE,20,1500.0000,1366.4685
1910-05-16,Germany,Belgium,0,3,Friendly,FALSE,20,1497.9922,1503.4250
1910-05-26,Hungary,Italy,6,1,Friendly,FALSE,20,1479.2285,1507.7550
1910-05-27,Argentina,Chile,3,1,Friendly,FALSE,20,1540.8603,1500.0000
1910-05-29,Chile,Uruguay,0,3,Friendly,TRUE,20,1490.7688,1446.1325
1910-06-05,Argentina,Chile,5,1,Friendly,FALSE,20,1550.0915,1471.0328
1910-06-12,Argentina,Uruguay,4,1,Friendly,FALSE,20,1559.9518,1465.8685
1910-08-15,Uruguay,Argentina,3,1,Copa Lipton,FALSE,30,1457.2401,1568.5802
1910-09-11,Chile,Argentina,0,3,Friendly,FALSE,20,1461.1725,1545.3460
1910-09-11,Norway,Sweden,0,4,Friendly,FALSE,20,1482.9031,1469.8147
1910-10-16,Germany,Netherlands,1,2,Friendly,FALSE,20,1475.8432,1626.9854
1910-10-16,Russia,Czechoslovakia,5,4,Friendly,FALSE,20,1500.0000,1471.0851
1910-10-23,Russia,Czechoslovakia,1,0,Friendly,FALSE,20,1506.4509,1464.6342
1910-11-06,Hungary,Austria,3,0,Friendly,FALSE,20,1495.1712,1473.7990
1910-11-13,Argentina,Uruguay,1,1,Copa Premio Honor Argentino,FALSE,30,1563.6426,1480.4742
1910-11-27,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,FALSE,30,1556.3941,1487.7228
1911-01-01,France,Hungary,0,3,Friendly,FALSE,20,1358.7134,1506.7949
1911-01-06,Italy,Hungary,0,1,Friendly,FALSE,20,1491.8123,1521.8884
1911-01-08,Switzerland,Hungary,2,0,Friendly,FALSE,20,1471.3551,1533.8743
