event_id,date,match_slug,team_code,team_espn_abbr,home_away,goals,opponent_goals,fouls,yellow_cards,red_cards,offsides,corners,saves,possession_pct,total_shots,shots_on_target,blocked_shots,passes,pass_pct,interceptions,effective_tackles,clearances,venue,venue_city
760481,2026-06-27,COL-POR,POR,POR,away,0,0,6,0,0,2,2,6,45.4,13,2,4,446,0.9,13,5,22,Hard Rock Stadium,"Miami Gardens, Florida"
760482,2026-06-27,CDR-UZB,CDR,COD,home,3,1,6,3,0,3,2,1,57.6,19,4,1,485,0.8,7,13,25,Mercedes-Benz Stadium,"Atlanta, Georgia"
760482,2026-06-27,CDR-UZB,UZB,UZB,away,1,3,16,2,0,1,4,1,42.4,3,1,0,355,0.8,12,18,38,Mercedes-Benz Stadium,"Atlanta, Georgia"
760483,2026-06-27,JOR-ARG,JOR,JOR,home,1,3,13,3,0,1,2,1,26.7,5,1,2,285,0.8,19,8,13,AT&T Stadium,"Arlington, Texas"
760483,2026-06-27,JOR-ARG,ARG,ARG,away,3,1,7,0,0,3,6,0,73.3,12,4,1,801,0.9,12,5,9,AT&T Stadium,"Arlington, Texas"
760484,2026-06-27,ALG-AUT,ALG,ALG,home,3,3,3,0,0,1,0,1,65.0,12,5,2,754,0.9,4,5,18,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri"
760484,2026-06-27,ALG-AUT,AUT,AUT,away,3,3,7,1,0,3,3,2,35.0,10,3,1,396,0.9,10,4,19,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri"
760485,2026-06-27,PAN-ENG,PAN,PAN,home,0,2,16,2,0,4,3,4,32.9,13,2,3,268,0.8,6,11,34,MetLife Stadium,"East Rutherford, New Jersey"
760485,2026-06-27,PAN-ENG,ENG,ENG,away,2,0,13,1,0,4,7,2,67.1,17,6,3,558,0.9,5,17,20,MetLife Stadium,"East Rutherford, New Jersey"
760486,2026-06-28,RSA-CAN,RSA,RSA,home,0,1,10,0,0,1,1,5,58.4,6,1,1,554,0.8,15,13,33,SoFi Stadium,"Inglewood, California"
760486,2026-06-28,RSA-CAN,CAN,CAN,away,1,0,16,2,0,0,4,1,41.6,12,7,0,379,0.8,8,15,16,SoFi Stadium,"Inglewood, California"
760487,2026-06-29,BRA-JPN,BRA,BRA,home,2,1,4,2,0,1,6,1,68.6,19,7,6,682,0.9,9,7,19,NRG Stadium,"Houston, Texas"
760487,2026-06-29,BRA-JPN,JPN,JPN,away,1,2,13,3,0,0,2,4,31.4,5,2,2,313,0.8,6,4,45,NRG Stadium,"Houston, Texas"
760488,2026-06-29,NED-MAR,NED,NED,home,1,1,18,0,0,3,5,5,29.9,6,2,3,371,0.8,11,10,22,Estadio BBVA,Guadalupe
760488,2026-06-29,NED-MAR,MAR,MAR,away,1,1,15,1,0,0,8,1,70.1,11,5,2,879,0.9,11,14,34,Estadio BBVA,Guadalupe
760489,2026-06-29,GER-PAR,GER,GER,home,1,1,18,2,0,4,16,2,75.6,21,6,8,805,0.9,4,7,23,Gillette Stadium,"Foxborough, Massachusetts"
