season_year,data_source,match_id,match_date,competition_stage,team_code,team_name,opponent_code,opponent_name,is_home,goals,opponent_goals,result,total_shots,shots_on_target,blocked_shots,xg_total,fouls_committed,fouls_won,yellow_cards,red_cards,corners,offsides,passes,passes_completed,pass_pct,clearances,interceptions,possession_pct,saves,effective_tackles,venue,venue_city,referee_name
2026,espn_boxscore,760459,2026-06-23,,CDR,DR Congo,COL,Colombia,False,0,1,L,7,1,2,,16,,1,0,4,0,299,,80.0,19,7,36.5,8,10,Estadio Akron,Guadalajara,
2026,espn_boxscore,760460,2026-06-23,,PAN,Panama,CRO,Croatia,True,0,1,L,8,1,2,,19,,1,0,7,1,352,,80.0,29,5,42.0,1,5,BMO Field,Toronto,
2026,espn_boxscore,760460,2026-06-23,,CRO,Croatia,PAN,Panama,False,1,0,W,6,2,1,,12,,1,0,2,2,512,,80.0,38,5,58.0,1,7,BMO Field,Toronto,
2026,espn_boxscore,760461,2026-06-23,,POR,Portugal,UZB,Uzbekistan,True,5,0,W,17,9,3,,14,,1,0,3,2,624,,90.0,16,6,65.9,2,10,NRG Stadium,"Houston, Texas",
2026,espn_boxscore,760461,2026-06-23,,UZB,Uzbekistan,POR,Portugal,False,0,5,L,7,2,3,,15,,1,0,2,2,327,,80.0,30,14,34.1,4,13,NRG Stadium,"Houston, Texas",
2026,espn_boxscore,760462,2026-06-24,,BIH,Bosnia and Herzegovina,QAT,Qatar,True,3,1,W,14,5,5,,9,,1,0,5,1,515,,90.0,22,4,54.4,2,9,Lumen Field,"Seattle, Washington",
2026,espn_boxscore,760462,2026-06-24,,QAT,Qatar,BIH,Bosnia and Herzegovina,False,1,3,L,9,3,0,,14,,1,0,5,3,434,,90.0,24,4,45.6,3,5,Lumen Field,"Seattle, Washington",
2026,espn_boxscore,760463,2026-06-24,,SUI,Switzerland,CAN,Canada,True,2,1,W,6,4,1,,19,,1,0,2,1,443,,80.0,44,4,55.3,6,7,BC Place,Vancouver,
2026,espn_boxscore,760463,2026-06-24,,CAN,Canada,SUI,Switzerland,False,1,2,L,13,7,3,,13,,2,0,7,3,339,,80.0,19,13,44.7,2,5,BC Place,Vancouver,
2026,espn_boxscore,760464,2026-06-24,,MAR,Morocco,HAI,Haiti,True,4,2,W,22,11,5,,10,,0,0,9,5,541,,90.0,14,8,69.1,1,8,Mercedes-Benz Stadium,"Atlanta, Georgia",
2026,espn_boxscore,760464,2026-06-24,,HAI,Haiti,MAR,Morocco,False,2,4,L,9,2,3,,18,,3,0,1,0,247,,80.0,26,16,30.9,8,12,Mercedes-Benz Stadium,"Atlanta, Georgia",
2026,espn_boxscore,760465,2026-06-24,,SCO,Scotland,BRA,Brazil,True,0,3,L,14,5,3,,10,,1,0,7,0,500,,90.0,13,2,46.0,5,8,Hard Rock Stadium,"Miami Gardens, Florida",
2026,espn_boxscore,760465,2026-06-24,,BRA,Brazil,SCO,Scotland,False,3,0,W,21,9,5,,11,,2,0,7,1,605,,90.0,24,13,54.0,5,6,Hard Rock Stadium,"Miami Gardens, Florida",
2026,espn_boxscore,760466,2026-06-24,,RSA,South Africa,KOR,South Korea,True,1,0,W,13,4,4,,7,,1,0,4,3,340,,80.0,40,15,31.6,2,7,Estadio BBVA,Guadalupe,
2026,espn_boxscore,760466,2026-06-24,,KOR,South Korea,RSA,South Africa,False,0,1,L,8,3,1,,9,,1,0,6,0,719,,90.0,16,4,68.4,3,9,Estadio BBVA,Guadalupe,
2026,espn_boxscore,760467,2026-06-24,,CZE,Czech Republic,MEX,Mexico,True,0,3,L,13,1,4,,9,,0,0,5,1,398,,80.0,20,5,51.9,2,7,Estadio Banorte,Mexico City,
2026,espn_boxscore,760467,2026-06-24,,MEX,Mexico,CZE,Czech Republic,False,3,0,W,11,5,2,,13,,1,0,1,0,386,,90.0,30,7,48.1,1,8,Estadio Banorte,Mexico City,
2026,espn_boxscore,760468,2026-06-25,,ECU,Ecuador,GER,Germany,True,2,1,W,7,3,2,,15,,3,0,3,1,378,,80.0,30,12,38.9,2,16,MetLife Stadium,"East Rutherford, New Jersey",
