date,home_team,away_team,home_score,away_score,tournament,neutral,k_factor,elo_home_pre,elo_away_pre
1923-07-15,Argentina,Uruguay,2,2,Friendly,FALSE,20,1557.5709,1663.4139
1923-07-22,Uruguay,Argentina,2,2,Copa Premio Honor Uruguayo,FALSE,30,1663.2457,1557.7390
1923-09-30,Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo,FALSE,30,1655.2812,1565.7036
1923-10-20,Northern Ireland,England,2,1,British Home Championship,FALSE,30,1373.4626,1695.9889
1923-10-29,Argentina,Paraguay,4,3,Copa América,TRUE,50,1599.3918,1474.9091
1923-11-01,Belgium,England,2,2,Friendly,FALSE,20,1614.5625,1672.5105
1923-11-18,Argentina,Brazil,2,1,Copa América,TRUE,50,1615.7991,1540.9722
1923-12-02,Argentina,Brazil,0,2,Friendly,FALSE,20,1635.4966,1522.4769
1923-12-02,Uruguay,Argentina,2,0,Copa América,FALSE,50,1647.0918,1612.3018
1923-12-09,Argentina,Brazil,2,0,Copa Roca,FALSE,30,1588.6617,1545.6717
1924-03-03,England,Wales,1,2,British Home Championship,FALSE,30,1673.7150,1433.3986
1924-04-12,England,Scotland,1,1,British Home Championship,FALSE,30,1647.4222,1651.5798
1924-05-15,Paraguay,Argentina,1,3,Copa Chevallier Boutell,FALSE,30,1465.7370,1602.3913
1924-05-17,France,England,1,3,Friendly,FALSE,20,1402.1019,1643.3862
1924-05-18,Paraguay,Argentina,2,1,Copa Chevallier Boutell,FALSE,30,1445.6020,1622.5263
1924-05-25,Argentina,Uruguay,4,0,Copa Newton,FALSE,30,1604.2585,1670.7319
1924-05-25,Uruguay,Argentina,2,0,Copa Lipton,FALSE,30,1645.3125,1629.6779
1924-09-21,Uruguay,Argentina,1,1,Friendly,FALSE,20,1780.4060,1614.4016
1924-10-02,Argentina,Uruguay,2,1,Friendly,FALSE,20,1620.8454,1773.9622
1924-10-12,Argentina,Paraguay,0,0,Copa América,TRUE,50,1632.3624,1463.8698
1924-10-22,England,Northern Ireland,3,1,British Home Championship,FALSE,30,1652.6018,1366.3355
1924-10-25,Argentina,Chile,2,0,Copa América,TRUE,50,1621.1072,1237.1031
1924-11-02,Uruguay,Argentina,0,0,Copa América,FALSE,50,1772.3288,1628.5181
1924-12-08,England,Belgium,4,0,Friendly,FALSE,20,1656.9964,1523.8042
1925-02-28,Wales,England,1,2,British Home Championship,FALSE,30,1468.5650,1664.7635
1925-04-04,Scotland,England,2,0,British Home Championship,FALSE,30,1675.6657,1675.7132
1925-05-21,France,England,2,3,Friendly,FALSE,20,1386.0810,1659.5133
1925-07-09,Argentina,Paraguay,1,1,Copa Chevallier Boutell,FALSE,30,1643.6549,1483.1209
1925-07-12,Argentina,Paraguay,1,1,Copa Chevallier Boutell,FALSE,30,1634.1288,1492.6471
1925-10-24,Northern Ireland,England,0,0,British Home Championship,FALSE,30,1357.4408,1664.8986
1925-11-29,Argentina,Paraguay,2,0,Copa América,FALSE,50,1625.1106,1542.9760
1925-12-13,Argentina,Brazil,4,1,Copa América,FALSE,50,1644.5748,1574.6307
1925-12-20,Argentina,Paraguay,3,1,Copa América,FALSE,50,1668.4828,1450.7675
1925-12-25,Argentina,Brazil,2,2,Copa América,FALSE,50,1678.8603,1580.7784
1926-03-01,England,Wales,1,3,British Home Championship,FALSE,30,1656.8737,1409.6626
1926-04-17,England,Scotland,0,1,British Home Championship,FALSE,30,1617.2440,1712.5645
1926-05-24,Belgium,England,3,5,Friendly,FALSE,20,1515.9692,1602.0420
1926-05-29,Argentina,Paraguay,2,1,Copa Chevallier Boutell,FALSE,30,1665.9740,1440.3899
1926-06-03,Argentina,Paraguay,2,1,Copa Chevallier Boutell,FALSE,30,1669.9657,1436.3983
1926-10-16,Argentina,Bolivia,5,0,Copa América,TRUE,50,1673.8010,1420.9322
1926-10-20,Argentina,Paraguay,8,0,Copa América,TRUE,50,1692.7146,1432.5630
1926-10-20,England,Northern Ireland,3,3,British Home Championship,FALSE,30,1617.6429,1384.6710
1926-10-24,Argentina,Uruguay,0,2,Copa América,TRUE,50,1714.4210,1726.0250
1926-10-31,Chile,Argentina,1,1,Copa América,FALSE,50,1283.4377,1678.1730
1927-02-12,Wales,England,3,3,British Home Championship,FALSE,30,1443.9541,1606.4897
1927-04-02,Scotland,England,1,2,British Home Championship,FALSE,30,1742.2526,1603.8186
1927-05-11,Belgium,England,1,9,Friendly,FALSE,20,1505.0553,1627.7523
1927-05-21,Luxembourg,England,2,5,Friendly,FALSE,20,1392.0223,1649.9530
1927-05-26,France,England,0,6,Friendly,FALSE,20,1411.7290,1660.0043
1927-07-14,Uruguay,Argentina,0,1,Copa Newton,FALSE,30,1785.7281,1660.9183
1927-08-30,Argentina,Uruguay,0,1,Copa Lipton,FALSE,30,1684.4636,1762.1828
1927-10-22,Northern Ireland,England,2,0,British Home Championship,FALSE,30,1393.1322,1672.6986
1927-10-30,Argentina,Bolivia,7,1,Copa América,TRUE,50,1668.5029,1344.0756
1927-11-20,Argentina,Uruguay,3,2,Copa América,TRUE,50,1682.7218,1810.5936
1927-11-27,Peru,Argentina,1,5,Copa América,FALSE,50,1484.7002,1716.5288
1927-11-28,England,Wales,1,2,British Home Championship,FALSE,30,1639.5054,1447.2507
1928-03-31,England,Scotland,1,5,British Home Championship,FALSE,30,1614.2090,1683.7364
1928-04-01,Portugal,Argentina,0,0,Friendly,FALSE,20,1481.4476,1746.4250
1928-05-17,France,England,1,5,Friendly,FALSE,20,1382.5758,1583.6235
