date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,data_source
1964-11-25,Paraguay,Argentina,3,0,Copa Chevallier Boutell,Asunción,Paraguay,FALSE,data/international_results/results.csv
1964-12-08,Argentina,Paraguay,8,1,Copa Chevallier Boutell,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1964-12-09,Netherlands,England,1,1,Friendly,Amsterdam,Netherlands,FALSE,data/international_results/results.csv
1965-04-10,England,Scotland,2,2,British Home Championship,London,England,FALSE,data/international_results/results.csv
1965-05-05,England,Hungary,1,0,Friendly,London,England,FALSE,data/international_results/results.csv
1965-05-09,Yugoslavia,England,1,1,Friendly,Belgrade,Yugoslavia,FALSE,data/international_results/results.csv
1965-05-12,Germany,England,0,1,Friendly,Nuremberg,Germany,FALSE,data/international_results/results.csv
1965-05-16,Sweden,England,1,2,Friendly,Gothenburg,Sweden,FALSE,data/international_results/results.csv
1965-06-03,France,Argentina,0,0,Friendly,Paris,France,FALSE,data/international_results/results.csv
1965-06-09,Brazil,Argentina,0,0,Friendly,Rio de Janeiro,Brazil,FALSE,data/international_results/results.csv
1965-07-14,Argentina,Chile,1,0,Copa Carlos Dittborn,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1965-07-21,Chile,Argentina,1,1,Copa Carlos Dittborn,Santiago,Chile,FALSE,data/international_results/results.csv
1965-08-01,Argentina,Paraguay,3,0,FIFA World Cup qualification,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1965-08-08,Paraguay,Argentina,0,0,FIFA World Cup qualification,Asunción,Paraguay,FALSE,data/international_results/results.csv
1965-08-17,Argentina,Bolivia,4,1,FIFA World Cup qualification,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1965-08-29,Bolivia,Argentina,1,2,FIFA World Cup qualification,La Paz,Bolivia,FALSE,data/international_results/results.csv
1965-10-02,Wales,England,0,0,British Home Championship,Cardiff,Wales,FALSE,data/international_results/results.csv
1965-10-20,England,Austria,2,3,Friendly,London,England,FALSE,data/international_results/results.csv
1965-11-10,England,Northern Ireland,2,1,British Home Championship,London,England,FALSE,data/international_results/results.csv
1965-12-01,Argentina,Russia,1,1,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1965-12-08,Spain,England,0,2,Friendly,Madrid,Spain,FALSE,data/international_results/results.csv
1966-01-05,England,Poland,1,1,Friendly,Liverpool,England,FALSE,data/international_results/results.csv
1966-02-23,England,Germany,1,0,Friendly,London,England,FALSE,data/international_results/results.csv
1966-04-02,Scotland,England,3,4,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1966-05-04,England,Yugoslavia,2,0,Friendly,London,England,FALSE,data/international_results/results.csv
1966-06-11,Argentina,Poland,1,1,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1966-06-22,Italy,Argentina,3,0,Friendly,Turin,Italy,FALSE,data/international_results/results.csv
1966-06-26,Finland,England,0,3,Friendly,Helsinki,Finland,FALSE,data/international_results/results.csv
1966-06-29,Norway,England,1,6,Friendly,Oslo,Norway,FALSE,data/international_results/results.csv
1966-07-03,Denmark,England,0,2,Friendly,Copenhagen,Denmark,FALSE,data/international_results/results.csv
1966-07-05,Poland,England,0,1,Friendly,Chorzów,Poland,FALSE,data/international_results/results.csv
1966-07-11,England,Uruguay,0,0,FIFA World Cup,London,England,FALSE,data/international_results/results.csv
1966-07-13,Argentina,Spain,2,1,FIFA World Cup,Birmingham,England,TRUE,data/international_results/results.csv
1966-07-16,Argentina,Germany,0,0,FIFA World Cup,Birmingham,England,TRUE,data/international_results/results.csv
1966-07-16,England,Mexico,2,0,FIFA World Cup,London,England,FALSE,data/international_results/results.csv
