event_id,date,team_a,team_b,stage,n_cards_team_a,n_cards_team_b,n_cards_total,both_teams_carded,card_events,first_card_min,first_card_team,first_card_type,first_card_display
760416,2026-06-12,Canada,Bosnia-Herzegovina,"2026 FIFA World Cup, Group Stage",2,3,5,True,11|Canada|yellow-card|11';45|Bosnia-Herzegovina|yellow-card|45';45|Bosnia-Herzegovina|yellow-card|45'+1';53|Canada|yellow-card|53';90|Bosnia-Herzegovina|yellow-card|90'+3',11,Canada,yellow-card,11'
760417,2026-06-13,United States,Paraguay,"2026 FIFA World Cup, Group Stage",2,5,7,True,10|Paraguay|yellow-card|10';52|United States|var---red-card-upgrade|52';53|Paraguay|yellow-card|53';59|United States|yellow-card|59';79|Paraguay|yellow-card|79';88|Paraguay|yellow-card|88';90|Paraguay|yellow-card|90'+3',10,Paraguay,yellow-card,10'
760418,2026-06-14,Haiti,Scotland,"2026 FIFA World Cup, Group Stage",1,3,4,True,39|Haiti|yellow-card|39';46|Scotland|yellow-card|46';90|Scotland|yellow-card|90'+1';90|Scotland|yellow-card|90'+5',39,Haiti,yellow-card,39'
760419,2026-06-13,Brazil,Morocco,"2026 FIFA World Cup, Group Stage",2,0,2,False,37|Brazil|yellow-card|37';43|Brazil|yellow-card|43',37,Brazil,yellow-card,37'
760420,2026-06-13,Qatar,Switzerland,"2026 FIFA World Cup, Group Stage",2,1,3,True,16|Qatar|yellow-card|16';23|Qatar|yellow-card|23';42|Switzerland|yellow-card|42',16,Qatar,yellow-card,16'
760421,2026-06-14,Australia,Türkiye,"2026 FIFA World Cup, Group Stage",0,1,1,False,86|Türkiye|yellow-card|86',86,Türkiye,yellow-card,86'
760422,2026-06-14,Germany,Curaçao,"2026 FIFA World Cup, Group Stage",0,0,0,False,,,,,
760423,2026-06-14,Ivory Coast,Ecuador,"2026 FIFA World Cup, Group Stage",3,1,4,True,28|Ivory Coast|yellow-card|28';38|Ivory Coast|yellow-card|38';40|Ivory Coast|yellow-card|40';73|Ecuador|yellow-card|73',28,Ivory Coast,yellow-card,28'
760424,2026-06-15,Sweden,Tunisia,"2026 FIFA World Cup, Group Stage",0,1,1,False,54|Tunisia|yellow-card|54',54,Tunisia,yellow-card,54'
760425,2026-06-14,Netherlands,Japan,"2026 FIFA World Cup, Group Stage",3,0,3,False,61|Netherlands|yellow-card|61';83|Netherlands|yellow-card|83';90|Netherlands|yellow-card|90'+1',61,Netherlands,yellow-card,61'
760426,2026-06-15,Belgium,Egypt,"2026 FIFA World Cup, Group Stage",2,2,4,True,13|Egypt|yellow-card|13';14|Belgium|yellow-card|14';34|Egypt|yellow-card|34';75|Belgium|yellow-card|75',13,Egypt,yellow-card,13'
760427,2026-06-16,Iran,New Zealand,"2026 FIFA World Cup, Group Stage",1,0,1,False,89|Iran|yellow-card|89',89,Iran,yellow-card,89'
760429,2026-06-15,Saudi Arabia,Uruguay,"2026 FIFA World Cup, Group Stage",1,0,1,False,44|Saudi Arabia|yellow-card|44',44,Saudi Arabia,yellow-card,44'
760430,2026-06-16,Iraq,Norway,"2026 FIFA World Cup, Group Stage",1,0,1,False,86|Iraq|yellow-card|86',86,Iraq,yellow-card,86'
760431,2026-06-17,Austria,Jordan,"2026 FIFA World Cup, Group Stage",1,0,1,False,77|Austria|yellow-card|77',77,Austria,yellow-card,77'
760433,2026-06-17,Argentina,Algeria,"2026 FIFA World Cup, Group Stage",0,0,0,False,,,,,
760434,2026-06-17,Ghana,Panama,"2026 FIFA World Cup, Group Stage",1,2,3,True,16|Ghana|yellow-card|16';72|Panama|yellow-card|72';90|Panama|yellow-card|90'+9',16,Ghana,yellow-card,16'
760435,2026-06-17,Portugal,Congo DR,"2026 FIFA World Cup, Group Stage",3,1,4,True,13|Portugal|yellow-card|13';32|Congo DR|yellow-card|32';88|Portugal|yellow-card|88';90|Portugal|yellow-card|90'+2',13,Portugal,yellow-card,13'
760436,2026-06-18,Uzbekistan,Colombia,"2026 FIFA World Cup, Group Stage",1,1,2,True,7|Colombia|yellow-card|7';34|Uzbekistan|yellow-card|34',7,Colombia,yellow-card,7'
760437,2026-06-17,England,Croatia,"2026 FIFA World Cup, Group Stage",0,0,0,False,,,,,
760438,2026-06-18,Czechia,South Africa,"2026 FIFA World Cup, Group Stage",1,2,3,True,33|South Africa|yellow-card|33';40|South Africa|yellow-card|40';75|Czechia|yellow-card|75',33,South Africa,yellow-card,33'
